,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-01-02,60.0099983215332,60.0099983215332,60.0099983215332,60.0099983215332,0.0,60.0099983215332,828.0,0.0,487.0,9262.0,8921.0,141.0,260.0,313.0,1457.0,1404.0,115863.0,123668.0,1.0673548298004558,,,
2008-01-03,58.88999938964844,58.88999938964844,58.88999938964844,58.88999938964844,0.0,58.88999938964844,696.0,0.0,553.0,9405.0,9262.0,297.0,482.0,312.0,1287.0,1457.0,116595.0,124713.0,1.0696164533946275,,,
2008-01-04,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0.0,59.0099983215332,916.0,50.0,260.0,10011.0,9405.0,585.0,175.0,282.0,1394.0,1287.0,116864.0,125481.0,1.0737260942112694,,,
2008-01-07,56.38999938964844,56.38999938964844,56.38999938964844,56.38999938964844,0.0,56.38999938964844,2469.0,1.0,665.0,11814.0,10011.0,581.0,366.0,506.0,1534.0,1394.0,116936.0,127216.0,1.0879020327184723,,,
2008-01-08,56.97999954223633,56.97999954223633,56.97999954223633,56.97999954223633,0.0,56.97999954223633,458.0,1.0,661.0,11610.0,11814.0,254.0,137.0,226.0,1622.0,1534.0,117140.0,127128.0,1.085256229671934,,,
2008-01-09,58.20000076293945,58.20000076293945,58.20000076293945,58.20000076293945,0.0,58.20000076293945,860.0,4.0,1055.0,11411.0,11610.0,690.0,353.0,432.0,1701.0,1622.0,117589.0,127299.0,1.0825665447742154,,,
2008-01-10,57.650001525878906,57.650001525878906,57.650001525878906,57.650001525878906,0.0,57.650001525878906,693.0,5.0,672.0,11427.0,11411.0,158.0,387.0,68.0,1382.0,1701.0,118823.0,128868.0,1.0845283781054333,,,
2008-01-11,57.470001220703125,57.470001220703125,57.470001220703125,57.470001220703125,0.0,57.470001220703125,513.0,0.0,591.0,11349.0,11427.0,171.0,135.0,131.0,1378.0,1382.0,120026.0,129997.0,1.083064643788481,,,
2008-01-14,58.459999084472656,58.459999084472656,58.459999084472656,58.459999084472656,0.0,58.459999084472656,979.0,145.0,1558.0,10625.0,11349.0,325.0,71.0,419.0,1726.0,1378.0,121125.0,130024.0,1.0734606938229612,,,
2008-01-15,60.27000045776367,60.27000045776367,60.27000045776367,60.27000045776367,0.0,60.27000045776367,759.0,0.0,1556.0,9828.0,10625.0,444.0,582.0,613.0,1757.0,1726.0,122672.0,130743.0,1.0657846469883347,,,
