,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2013-01-02,54.650001525878906,53.900001525878906,54.0,54.400001525878906,16487837.0,54.400001525878906,426.0,0.0,453.0,7177.0,7204.0,109.0,287.0,150.0,3435.0,3572.0,425698.0,429440.0,1.0087878994312882,11348000.0,2224000.0,5.102515691314887,2013-01-02
2013-01-03,55.04999923706055,54.650001525878906,54.900001525878906,54.84999847412109,29020585.0,54.84999847412109,430.0,5.0,667.0,6935.0,7177.0,74.0,44.0,494.0,3885.0,3435.0,424315.0,427365.0,1.0071856823688006,15283000.0,7642000.0,1.999868882508652,2013-01-03
2013-01-04,54.84999847412109,54.400001525878906,54.84999847412109,54.5,9837846.0,54.5,203.0,0.0,295.0,6843.0,6935.0,16.0,126.0,66.0,3825.0,3885.0,424157.0,427175.0,1.0071129154701786,2853000.0,4186000.0,0.6815574100436192,2013-01-04
2013-01-07,54.54999923706055,53.900001525878906,54.54999923706055,54.25,8910880.0,54.25,350.0,20.0,245.0,6928.0,6843.0,55.0,70.0,67.0,3822.0,3825.0,425072.0,428178.0,1.007304627675717,2575000.0,5481000.0,0.4698046944344655,2013-01-07
2013-01-08,54.20000076293945,53.650001525878906,54.0,53.900001525878906,12507357.0,53.900001525878906,282.0,0.0,351.0,6859.0,6928.0,162.0,125.0,75.0,3772.0,3822.0,425141.0,428228.0,1.0072587511937188,5877000.0,8548000.0,0.6875291661758112,2013-01-08
2013-01-09,54.29999923706055,53.75,53.75,54.09999847412109,7529070.0,54.09999847412109,202.0,0.0,554.0,6507.0,6859.0,53.0,87.0,98.0,3783.0,3772.0,425493.0,428217.0,1.0063996202061605,5781000.0,2332000.0,2.4789869301085203,2013-01-09
2013-01-10,54.650001525878906,54.150001525878906,54.29999923706055,54.5,13953703.0,54.5,384.0,6.0,578.0,6307.0,6507.0,57.0,93.0,92.0,3782.0,3783.0,425818.0,428343.0,1.005927401078862,10117000.0,2993000.0,3.380219385158909,2013-01-10
2013-01-11,54.79999923706055,54.34999847412109,54.70000076293945,54.45000076293945,11837820.0,54.45000076293945,102.0,20.0,223.0,6166.0,6307.0,51.0,27.0,75.0,3830.0,3782.0,426209.0,428545.0,1.0054785199784144,9350000.0,5430000.0,1.7219149683397847,2013-01-11
2013-01-14,54.5,53.79999923706055,54.0,54.5,7282035.0,54.5,56.0,2.0,203.0,6017.0,6166.0,282.0,61.0,78.0,3847.0,3830.0,426608.0,428778.0,1.0050842809223437,3691000.0,3351000.0,1.1014619213781196,2013-01-14
2013-01-15,54.45000076293945,53.900001525878906,54.20000076293945,54.0,6609521.0,54.0,393.0,0.0,87.0,6323.0,6017.0,129.0,91.0,14.0,3770.0,3847.0,426302.0,428855.0,1.0059863524300792,1217100.0,3594000.0,0.3386476520179042,2013-01-15
2013-01-16,54.04999923706055,53.70000076293945,54.04999923706055,53.70000076293945,8142003.0,53.70000076293945,330.0,0.0,134.0,6519.0,6323.0,53.0,67.0,66.0,3769.0,3770.0,426106.0,428856.0,1.0064514312132868,1147000.0,4839000.0,0.2370323957362273,2013-01-16
2013-01-17,54.20000076293945,53.20000076293945,53.900001525878906,53.29999923706055,10084179.0,53.29999923706055,301.0,48.0,318.0,6454.0,6519.0,126.0,66.0,168.0,3871.0,3769.0,426171.0,428754.0,1.0060585866739251,4630000.0,5440000.0,0.8511027847237528,2013-01-17
2013-01-18,53.95000076293945,53.70000076293945,53.95000076293945,53.95000076293945,5410035.0,53.95000076293945,100.0,1.0,301.0,6252.0,6454.0,90.0,88.0,74.0,3857.0,3871.0,426373.0,428768.0,1.0056147888942573,3337000.0,1391000.0,2.398991805182024,2013-01-18
2013-01-21,54.04999923706055,53.54999923706055,53.95000076293945,53.900001525878906,4525979.0,53.900001525878906,125.0,2.0,136.0,6239.0,6252.0,150.0,37.0,35.0,3855.0,3857.0,422886.0,425270.0,1.0056350750909815,2789000.0,1691000.0,1.6493189536848294,2013-01-21
2013-01-22,54.29999923706055,53.70000076293945,54.29999923706055,54.04999923706055,10501391.0,54.04999923706055,240.0,5.0,113.0,6361.0,6239.0,219.0,99.0,52.0,3808.0,3855.0,422139.0,424692.0,1.0060453877860425,8962000.0,2935000.0,3.053491293529372,2013-01-22
2013-01-23,54.29999923706055,53.900001525878906,54.20000076293945,54.0,7266884.0,54.0,63.0,3.0,98.0,6323.0,6361.0,90.0,33.0,56.0,3831.0,3808.0,421927.0,424419.0,1.0059038508939917,4913000.0,794000.0,6.18764963772086,2013-01-23
2013-01-24,53.900001525878906,53.25,53.75,53.70000076293945,11334440.0,53.70000076293945,275.0,0.0,83.0,6515.0,6323.0,318.0,163.0,84.0,3751.0,3831.0,420110.0,422874.0,1.006576833265494,5440000.0,6282000.0,0.8659661149369444,2013-01-24
2013-01-25,53.70000076293945,53.20000076293945,53.650001525878906,53.5,8521237.0,53.5,273.0,51.0,105.0,6632.0,6515.0,162.0,200.0,183.0,3734.0,3751.0,419868.0,422766.0,1.0068997711190872,1919200.0,6804000.0,0.2820693295018622,2013-01-25
2013-01-28,53.95000076293945,53.650001525878906,53.70000076293945,53.75,8708776.0,53.75,319.0,5.0,210.0,6736.0,6632.0,101.0,90.0,84.0,3728.0,3734.0,419764.0,422772.0,1.0071635319762249,6299000.0,1460000.0,4.314380606588625,2013-01-28
2013-01-29,54.5,53.95000076293945,53.95000076293945,54.5,21973443.0,54.5,203.0,5.0,865.0,6069.0,6736.0,93.0,215.0,129.0,3642.0,3728.0,420056.0,422483.0,1.0057754066709994,17558000.0,1426000.0,12.31275433888195,2013-01-29
2013-01-30,54.75,54.45000076293945,54.5,54.59999847412109,21672090.0,54.59999847412109,449.0,0.0,265.0,6253.0,6069.0,136.0,204.0,84.0,3522.0,3642.0,417997.0,420728.0,1.006531131727903,18770000.0,4031000.0,4.656411645643352,2013-01-30
2013-01-31,54.59999847412109,54.29999923706055,54.5,54.59999847412109,12643402.0,54.59999847412109,126.0,1.0,238.0,6140.0,6253.0,207.0,14.0,111.0,3619.0,3522.0,416735.0,419256.0,1.006046993780235,9983000.0,2654000.0,3.761490670124088,2013-01-31
2013-02-01,54.84999847412109,54.59999847412109,54.70000076293945,54.79999923706055,15057838.0,54.79999923706055,139.0,7.0,490.0,5782.0,6140.0,71.0,44.0,141.0,3716.0,3619.0,413343.0,415409.0,1.0049958388170628,11578300.0,1272000.0,9.10242995091985,2013-02-01
2013-02-04,55.400001525878906,54.84999847412109,54.84999847412109,55.20000076293945,30980908.0,55.20000076293945,305.0,31.0,742.0,5314.0,5782.0,126.0,307.0,129.0,3538.0,3716.0,413686.0,415462.0,1.0042906835361034,27303300.0,6767000.0,4.034771089881618,2013-02-04
2013-02-05,55.09999847412109,54.900001525878906,54.900001525878906,55.0,15988259.0,55.0,302.0,6.0,253.0,5357.0,5314.0,95.0,107.0,61.0,3491.0,3538.0,411768.0,413634.0,1.004529238480799,12304000.0,2912000.0,4.225273274288024,2013-02-05
2013-02-06,55.5,55.20000076293945,55.20000076293945,55.400001525878906,29434091.0,55.400001525878906,277.0,3.0,487.0,5144.0,5357.0,126.0,39.0,52.0,3465.0,3491.0,407356.0,409035.0,1.004119236934679,25591200.0,3369000.0,7.596079668720787,2013-02-06
2013-02-18,55.900001525878906,55.45000076293945,55.5,55.59999847412109,29739642.0,55.59999847412109,453.0,0.0,336.0,5261.0,5144.0,258.0,126.0,27.0,3366.0,3465.0,402364.0,404259.0,1.0047071688640912,25721000.0,4832000.0,5.323053534136272,2013-02-18
2013-02-19,55.75,55.54999923706055,55.59999847412109,55.650001525878906,16817277.0,55.650001525878906,137.0,6.0,96.0,5296.0,5261.0,170.0,4.0,50.0,3412.0,3366.0,399954.0,401838.0,1.004708029653336,15613000.0,1109000.0,14.078436358488403,2013-02-19
2013-02-20,56.20000076293945,55.900001525878906,55.900001525878906,56.09999847412109,21814406.0,56.09999847412109,329.0,0.0,470.0,5155.0,5296.0,167.0,40.0,64.0,3436.0,3412.0,396470.0,398189.0,1.0043332299209775,19509000.0,2091000.0,9.329981190826786,2013-02-20
2013-02-21,56.04999923706055,55.70000076293945,55.900001525878906,55.70000076293945,9951139.0,55.70000076293945,229.0,0.0,410.0,4974.0,5155.0,193.0,96.0,28.0,3368.0,3436.0,394651.0,396257.0,1.004066874106808,7956000.0,521000.0,15.27060408713227,2013-02-21
2013-02-22,55.84999847412109,55.34999847412109,55.59999847412109,55.5,9130884.0,55.5,212.0,1.0,180.0,5005.0,4974.0,207.0,88.0,26.0,3305.0,3368.0,393620.0,395320.0,1.0043163347484,6127000.0,2104000.0,2.912070859281911,2013-02-22
2013-02-25,55.79999923706055,55.54999923706055,55.79999923706055,55.70000076293945,10431887.0,55.70000076293945,74.0,0.0,198.0,4823.0,4947.0,46.0,12.0,9.0,3263.0,3266.0,390552.0,392112.0,1.0039917757641088,8978000.0,1881400.0,4.771975777625291,2013-02-25
2013-02-26,55.400001525878906,55.04999923706055,55.25,55.09999847412109,6753666.0,55.09999847412109,263.0,0.0,71.0,5015.0,4823.0,2.0,104.0,37.0,3196.0,3263.0,389860.0,391679.0,1.004663200474015,3232000.0,3052000.0,1.058977372550009,2013-02-26
2013-02-27,55.20000076293945,54.95000076293945,55.04999923706055,55.20000076293945,4605027.0,55.20000076293945,63.0,1.0,44.0,5033.0,5015.0,129.0,36.0,114.0,3274.0,3196.0,390217.0,391976.0,1.0045051740309263,2592000.0,2732000.0,0.94875514320822,2013-02-27
2013-03-01,55.54999923706055,55.29999923706055,55.34999847412109,55.400001525878906,5730057.0,55.400001525878906,194.0,0.0,109.0,5118.0,5033.0,190.0,51.0,36.0,3258.0,3274.0,389507.0,391367.0,1.0047726875956335,2653500.0,1526000.0,1.7388586246011637,2013-03-01
2013-03-04,55.45000076293945,54.70000076293945,55.400001525878906,54.75,8270213.0,54.75,388.0,0.0,217.0,5289.0,5118.0,242.0,55.0,133.0,3336.0,3258.0,389336.0,391289.0,1.0050136514125294,1458000.0,6112000.0,0.2385470813895482,2013-03-04
2013-03-05,55.34999847412109,54.900001525878906,54.900001525878906,55.20000076293945,16081480.0,55.20000076293945,120.0,78.0,272.0,5059.0,5289.0,44.0,35.0,100.0,3401.0,3336.0,386566.0,388224.0,1.0042864496969477,13832500.0,1556000.0,8.889775777779063,2013-03-05
2013-03-06,55.75,55.20000076293945,55.70000076293945,55.45000076293945,4640574.0,55.45000076293945,166.0,0.0,215.0,5010.0,5059.0,221.0,82.0,19.0,3338.0,3401.0,386615.0,388287.0,1.0043221180706436,2912000.0,914000.0,3.1859921378641816,2013-03-06
2013-03-07,55.650001525878906,55.20000076293945,55.20000076293945,55.400001525878906,5956438.0,55.400001525878906,100.0,5.0,84.0,5021.0,5010.0,4.0,24.0,58.0,3372.0,3338.0,386229.0,387878.0,1.0042668876058307,4297000.0,2845000.0,1.51036853765605,2013-03-07
2013-03-08,55.900001525878906,55.59999847412109,55.59999847412109,55.79999923706055,12380659.0,55.79999923706055,291.0,0.0,298.0,5014.0,5021.0,47.0,79.0,62.0,3355.0,3372.0,385986.0,387645.0,1.0042954814540386,10234000.0,2563000.0,3.992975422171119,2013-03-08
2013-03-11,56.09999847412109,55.59999847412109,55.79999923706055,55.900001525878906,12066208.0,55.900001525878906,110.0,0.0,202.0,4922.0,5014.0,90.0,97.0,85.0,3343.0,3355.0,377953.0,379532.0,1.0041751112569255,9460000.0,2303000.0,4.107683843819434,2013-03-11
2013-03-12,56.0,55.54999923706055,55.900001525878906,55.54999923706055,7442935.0,55.54999923706055,93.0,0.0,81.0,4934.0,4922.0,63.0,10.0,38.0,3370.0,3343.0,377566.0,379130.0,1.004139662629414,5196000.0,1382000.0,3.759765730994406,2013-03-12
