,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2019-01-02,75.9000015258789,73.94999694824219,75.8499984741211,74.05000305175781,8532073.0,74.05000305175781,377.0,6.0,142.0,3359.0,3130.0,3.0,22.0,4.0,1385.0,1403.0,232016.0,233990.0,1.008503687229815,920000.0,6601000.0,0.1393728011857595,2019-01-02
2019-01-03,74.0,73.25,73.80000305175781,73.3499984741211,13347147.0,73.3499984741211,302.0,0.0,101.0,3560.0,3359.0,7.0,12.0,16.0,1389.0,1385.0,233190.0,235361.0,1.0093056764626422,2069000.0,11623000.0,0.17800910453333,2019-01-03
2019-01-04,72.80000305175781,72.0,72.80000305175781,72.19999694824219,21292465.0,72.19999694824219,266.0,1.0,333.0,3492.0,3560.0,1.0,25.0,54.0,1418.0,1389.0,236633.0,238707.0,1.008760364106595,4519000.0,18262000.0,0.24745371550467,2019-01-04
2019-01-07,74.05000305175781,73.25,73.55000305175781,73.94999694824219,14605638.0,73.94999694824219,166.0,0.0,315.0,3343.0,3492.0,6.0,40.0,38.0,1416.0,1418.0,238157.0,240084.0,1.0080870682488097,2788000.0,7214000.0,0.3864706977445664,2019-01-07
2019-01-08,74.1500015258789,73.55000305175781,74.1500015258789,73.6500015258789,11006700.0,73.6500015258789,58.0,0.0,45.0,3356.0,3343.0,72.0,123.0,7.0,778.0,1416.0,238144.0,240722.0,1.0108211383820782,3107000.0,9292000.0,0.3343736187716725,2019-01-08
2019-01-09,75.1500015258789,73.94999694824219,73.94999694824219,75.0,11430523.0,75.0,112.0,1.0,467.0,3000.0,3356.0,4.0,92.0,37.0,723.0,778.0,238500.0,240777.0,1.0095429369268891,7699000.0,1195000.0,6.442672432910098,2019-01-09
2019-01-10,74.9000015258789,74.5,74.80000305175781,74.80000305175781,2823283.0,74.80000305175781,12.0,0.0,78.0,2934.0,3000.0,0.0,136.0,6.0,591.0,723.0,238316.0,240659.0,1.0098272469022354,953000.0,735000.0,1.2965968753784007,2019-01-10
2019-01-11,75.75,75.1500015258789,75.30000305175781,75.5,10362915.0,75.5,8.0,0.0,294.0,2648.0,2934.0,0.0,39.0,32.0,474.0,591.0,238602.0,240776.0,1.0091071780321288,9194050.0,1057000.0,8.698241534303184,2019-01-11
2019-01-14,75.44999694824219,74.75,75.44999694824219,75.0,5298405.0,75.0,51.0,0.0,52.0,2647.0,2648.0,2.0,64.0,16.0,399.0,474.0,238603.0,240851.0,1.00941727716216,2875000.0,1560000.0,1.842947536572092,2019-01-14
2019-01-15,75.80000305175781,75.05000305175781,75.05000305175781,75.6500015258789,11836450.0,75.6500015258789,42.0,0.0,94.0,2595.0,2647.0,7.0,36.0,12.0,302.0,399.0,240905.0,243198.0,1.009514084331648,8322000.0,2733000.0,3.0450043743123403,2019-01-15
2019-01-16,75.69999694824219,75.3499984741211,75.6500015258789,75.55000305175781,15342503.0,75.55000305175781,36.0,1.0,69.0,2561.0,2595.0,0.0,298.0,0.0,2.0,302.0,240939.0,243498.0,1.0106167510583548,13032000.0,7777000.0,1.6757102127156729,2019-01-16
2019-01-17,75.9000015258789,75.1500015258789,75.5999984741211,75.55000305175781,10020739.0,75.55000305175781,56.0,0.0,85.0,2532.0,2561.0,0.0,0.0,0.0,0.0,2.0,240843.0,243375.0,1.010508877115477,6366000.0,1612000.0,3.949129063815717,2019-01-17
2019-01-18,76.0999984741211,75.4000015258789,75.75,75.94999694824219,8293491.0,75.94999694824219,56.0,1.0,82.0,2505.0,2532.0,0.0,0.0,0.0,0.0,0.0,240870.0,243375.0,1.0103956059467516,6230000.0,2116000.0,2.9442330131223944,2019-01-18
2019-01-21,76.69999694824219,76.25,76.3499984741211,76.5,10254756.0,76.5,76.0,11.0,111.0,2459.0,2505.0,0.0,0.0,0.0,0.0,0.0,237166.0,239625.0,1.010364005110323,6845999.0,3333000.0,2.0540044842470797,2019-01-21
2019-01-22,74.4000015258789,73.80000305175781,74.4000015258789,74.05000305175781,8838931.0,74.05000305175781,240.0,0.0,27.0,2672.0,2459.0,5.0,0.0,71.0,71.0,0.0,237203.0,239804.0,1.0109610293249691,183000.0,7122000.0,0.0256950258782608,2019-01-22
2019-01-23,74.0,73.6500015258789,74.0,73.69999694824219,6407442.0,73.69999694824219,88.0,2.0,80.0,2678.0,2672.0,7.0,0.0,53.0,124.0,71.0,238447.0,241001.0,1.0107067368986111,1864000.0,3496000.0,0.533180625520416,2019-01-23
2019-01-24,74.1500015258789,73.75,73.94999694824219,74.05000305175781,3500506.0,74.05000305175781,185.0,0.0,40.0,2823.0,2678.0,2.0,10.0,47.0,161.0,124.0,238302.0,240964.0,1.0111664561503633,1210000.0,1839000.0,0.657965928240387,2019-01-24
